,N,1_2,1_3,1_4,1_5,1_6,2_1,2_3,2_4,2_5,2_6,3_1,3_2,3_4,3_5,3_6,4_1,4_2,4_3,4_5,4_6,5_1,5_2,5_3,5_4,5_6,6_1,6_2,6_3,6_4,6_5
68,16,2,0,0,0,0,1,1,2,0,0,0,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0
69,19,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,2,0,0,0,0,0,0
70,15,5,0,0,0,0,1,2,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,15,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,0
72,28,5,0,0,0,0,4,6,0,0,0,0,3,0,3,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0
73,22,4,0,0,0,0,3,1,1,0,0,0,3,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0
74,23,2,0,0,0,0,3,0,2,0,0,0,4,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,4,0,1
75,19,6,0,0,0,0,2,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,0,0,0
76,13,4,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
77,15,6,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
78,16,2,0,0,0,0,0,3,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0
79,26,3,0,0,0,0,4,1,1,0,0,0,0,0,5,0,0,0,0,1,0,0,5,0,0,3,0,0,2,0,1
80,23,5,0,0,0,0,0,4,2,0,0,0,0,0,2,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0
81,24,8,0,0,0,0,4,4,1,0,0,0,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
82,20,5,0,0,0,0,2,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0
83,20,7,0,0,0,0,2,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
84,23,9,0,0,0,0,6,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
85,18,5,0,0,0,0,2,1,2,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,23,8,0,0,0,0,5,1,2,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0
87,25,10,0,0,0,0,4,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
88,18,5,0,0,0,0,2,4,0,0,0,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,21,8,0,0,0,0,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,20,1,0,0,0,0,1,1,2,0,0,0,2,0,5,0,2,0,0,0,0,0,4,0,0,1,0,0,1,0,0
91,11,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
92,26,5,0,0,0,0,4,2,5,0,0,0,1,0,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0
93,20,8,0,0,0,0,3,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
94,38,3,0,0,0,0,1,6,4,0,0,0,4,0,2,0,6,0,0,2,0,0,5,0,1,2,0,0,1,0,1
95,21,3,0,0,0,0,1,1,1,0,0,0,1,0,1,0,3,0,0,1,0,0,3,0,1,2,0,0,1,0,2
96,19,10,0,0,0,0,3,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,16,6,0,0,0,0,3,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
98,24,9,0,0,0,0,6,4,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,14,3,0,0,0,0,1,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
100,27,3,0,0,0,0,4,3,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,4,0,0
